"code","name","ipo_date","papan_pencatatan","industry"
"ERAA","Erajaya Swasembada Tbk.","2011-12-14","Utama","Consumer Cyclicals"
"ERAL","Sinar Eka Selaras Tbk.","2023-08-08","Utama","Consumer Cyclicals"
"ERTX","Eratex Djaja Tbk.","1990-08-21","Pengembangan","Consumer Cyclicals"
"ESIP","Sinergi Inti Plastindo Tbk.","2019-11-14","Pemantauan Khusus","Basic Materials"
"ESSA","ESSA Industries Indonesia Tbk.","2012-02-01","Utama","Basic Materials"
"ESTA","Esta Multi Usaha Tbk.","2020-03-09","Pengembangan","Consumer Cyclicals"
"ESTI","Ever Shine Tex Tbk.","1992-10-13","Pemantauan Khusus","Consumer Cyclicals"
"ETWA","Eterindo Wahanatama Tbk","1997-05-16","Pemantauan Khusus","Basic Materials"
"EURO","Estee Gold Feet Tbk.","2022-08-08","Akselerasi","Consumer Non-Cyclicals"
"EXCL","XL Axiata Tbk.","2005-09-29","Utama","Infrastructure"
"FAPA","FAP Agri Tbk.","2021-01-04","Pengembangan","Consumer Non-Cyclicals"
"FAST","Fast Food Indonesia Tbk.","1993-05-11","Pengembangan","Consumer Cyclicals"
"FASW","Fajar Surya Wisesa Tbk.","1994-12-19","Pemantauan Khusus","Basic Materials"
"FILM","MD Entertainment Tbk.","2018-08-07","Utama","Consumer Cyclicals"
"FIMP","Fimperkasa Utama Tbk.","2021-04-09","Pemantauan Khusus","Infrastructure"
"FIRE","Alfa Energi Investama Tbk.","2017-06-09","Pengembangan","Energy"
